_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
98,AR4-HCW-610,High Constellation Wind Farm,Allocation Round 4,Onshore Wind,Transmission,Terminated,2025-12-01 00:00:00.0000000,50.000
99,AR4-HFS-700,Houndbeare Farm Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,10.530
100,AR4-HHR-610,Hagshaw Hill Repowering,Allocation Round 4,Onshore Wind,Transmission,Live (Pre-FIC),2027-03-31 00:00:00.0000000,79.800
101,AR4-HPF-700,High Park Foot Solar PV,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2027-03-01 00:00:00.0000000,20.000
102,AR4-HRL-700,Harlesford,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,26.650
103,AR4-HRN-010,Hornsea Project Three Offshore Wind Farm,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2028-03-01 00:00:00.0000000,2146.100
104,AR4-HSF-700,Hasland Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2027-05-02 00:00:00.0000000,49.900
105,AR4-HST-700,HIGHER STOCKBRIDGE,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2027-07-15 00:00:00.0000000,35.000
106,AR4-ICP-011,Inch Cape Phase 1,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,210.000
107,AR4-ICP-012,Inch Cape Phase 2,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2029-03-31 00:00:00.0000000,300.000
108,AR4-ICP-013,Inch Cape Phase 3,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2029-03-31 00:00:00.0000000,300.000
109,AR4-IGS-700,Inkersall Grange Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-01-01 00:00:00.0000000,49.900
110,AR4-KWE-610,Kilgallioch windfarm extension,Allocation Round 4,Onshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,51.300
111,AR4-LEP-700,Longney Estate PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,25.000
112,AR4-LFS-700,Low Farm Solar Park,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-04-30 00:00:00.0000000,40.060
113,AR4-LSF-700,Litchardon Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-01-01 00:00:00.0000000,49.900
114,AR4-LYR-700,Layer,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-06-30 00:00:00.0000000,45.000
115,AR4-MAS-700,Milltown Airfield Solar PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,49.900
116,AR4-MEY-510,MeyGen Phase 2,Allocation Round 4,Tidal Stream,Transmission,Pre-Start Date,2031-06-30 00:00:00.0000000,28.000
117,AR4-MFP-700,Manor Farm PV,Allocation Round 4,Solar PV,Distribution,Pre-MDD,2026-06-30 00:00:00.0000000,15.000
118,AR4-MFS-700,Bicker Fen Solar Limited,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-04-24 00:00:00.0000000,18.800
119,AR4-MHL-910,Mossy Hill,Allocation Round 4,Remote Island Wind,Transmission,Terminated,2026-11-30 00:00:00.0000000,48.000
120,AR4-MLF-700,MOSS LANE FARM SOLAR LIMITED,Allocation Round 4,Solar PV,Distribution,Pre-MDD,2026-11-30 00:00:00.0000000,25.000
121,AR4-MMG-500,Morlais Magallanes GR3,Allocation Round 4,Tidal Stream,Distribution,Pre-Start Date,2027-04-01 00:00:00.0000000,5.620
122,AR4-MRY-010,Moray West Offshore Wind Farm,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,220.500
123,AR4-MYT-710,Myttons,Allocation Round 4,Solar PV,Transmission,Pre-MDD,2029-04-30 00:00:00.0000000,49.990
124,AR4-NEL-700,Whitecross Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-03-31 00:00:00.0000000,23.000
125,AR4-NEX-700,NEXTPOWER PENTLOW LIMITED,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,15.000
126,AR4-NFS-700,North Fossil Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-05-01 00:00:00.0000000,29.400
127,AR4-NKE-610,North Kyle Energy Project,Allocation Round 4,Onshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,212.000
128,AR4-NOR-011,Norfolk Boreas (Phase 1),Allocation Round 4,Offshore Wind,Transmission,Terminated,2028-03-30 00:00:00.0000000,416.000
129,AR4-NOR-012,Norfolk Boreas (Phase 2),Allocation Round 4,Offshore Wind,Transmission,Terminated,2030-03-28 00:00:00.0000000,505.000
130,AR4-NOR-013,Norfolk Boreas (Phase 3),Allocation Round 4,Offshore Wind,Transmission,Terminated,2030-03-29 00:00:00.0000000,475.000
131,AR4-NXP-700,NEXTPOWER CRIFTON LIMITED,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,40.000
132,AR4-NXT-700,Hatherden Solar,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,40.000
133,AR4-OKN-900,Orkney Community Wind Farm Project - Quanterness,Allocation Round 4,Remote Island Wind,Distribution,Pre-MDD,2028-09-15 00:00:00.0000000,28.800
134,AR4-OME-504,Orbital Marine Eday 1,Allocation Round 4,Tidal Stream,Distribution,Pre-Start Date,2027-03-16 00:00:00.0000000,2.400
135,AR4-ORB-504,Orbital Marine Eday 2,Allocation Round 4,Tidal Stream,Distribution,Pre-Start Date,2027-03-16 00:00:00.0000000,4.800
136,AR4-ORK-900,Orkney Community Wind Farm Project - Hoy,Allocation Round 4,Remote Island Wind,Distribution,Terminated,2028-06-30 00:00:00.0000000,28.800
137,AR4-OSF-700,Oulton Solar Farm Phase 2,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-05-26 00:00:00.0000000,6.000
138,AR4-RHL-400,Redcar Holdings Limited,Allocation Round 4,Energy from Waste,Distribution,Terminated,"",30.000
139,AR4-RLS-700,Rag Lane Solar,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-08 00:00:00.0000000,38.840
140,AR4-RSF-700,Romsey Solar Farm Phase 2,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-30 00:00:00.0000000,6.480
141,AR4-RSP-700,Ranksborough Solar PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,30.000
142,AR4-SCL-700,St Cleres,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-06-30 00:00:00.0000000,15.000
143,AR4-SDS-700,Scurf Dyke Solar,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-04-01 00:00:00.0000000,49.900
144,AR4-SFH-700,South Fambridge Hall Solar,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-10 00:00:00.0000000,45.000
145,AR4-SID-700,Siddington Solar Park,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-04-30 00:00:00.0000000,16.700
146,AR4-SLF-700,Sparrow Lodge Farm Solar PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,20.000
147,AR4-SSF-700,Stokeford Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-04-24 00:00:00.0000000,20.800
148,AR4-SSP-700,Speyslaw Solar PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,20.000
149,AR4-STV-700,Staveley,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-06-30 00:00:00.0000000,20.000
150,AR4-STW-910,Stornoway Wind Farm,Allocation Round 4,Remote Island Wind,Transmission,Terminated,2031-05-31 00:00:00.0000000,200.000
151,AR4-SWF-610,Stranoch Wind Farm,Allocation Round 4,Onshore Wind,Transmission,Terminated,2026-03-30 00:00:00.0000000,99.960
152,AR4-TBS-700,Thorpe Bank Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-08-10 00:00:00.0000000,40.000
153,AR4-TFO-900,TwinHub Floating Offshore Wind Project,Allocation Round 4,Floating Offshore Wind,Distribution,Terminated,2027-03-30 00:00:00.0000000,32.000
154,AR4-TFP-700,Tuckey Farm PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,25.000
155,AR4-TSF-700,Tycroes solar farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,31.575
