# Provenance: RO annual-aggregate emitted from Ofgem XLSX dataset companions (SY18-SY23).
#
# Each row below is extracted from the scheme-year XLSX listed in the .meta.json sources[] array.
# SY17 deferred per Phase 05.2 revision_decisions.sy17_disposition (PDF-only year).
#
# Source XLSX inventory (also enumerated in .meta.json):
#   - SY18 (2019-20): https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
#   - SY19 (2020-21): https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
#   - SY20 (2021-22): https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
#   - SY21 (2022-23): https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
#   - SY22 (2023-24): https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
#   - SY23 (2024-25): https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
#
# Audit log:
#   2026-04-24 — Phase 05.2 Plan 02 emission (replaces commit a720ae7 in-place).
#
scheme_year,year,country,technology,generation_gwh,rocs_issued,ro_cost_gbp_nominal,source_pdf_url
SY22,2024,NI,Landfill gas,47.808,47808.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,NI,Onshore wind,2480.8161111109994,3474892.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,NI,Solar PV,229.5214702379494,523647.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY23,2025,GB,Fuelled,14368.857244671533,17305685.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Fuelled,1270.6124801271333,2425757.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Fuelled,490.512161196406,671381.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Hydro,51.779857143034995,51602.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Hydro,2060.096,2060096.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Hydro,132.45100000004797,132403.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Landfill gas,2053.4153976630882,2003813.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
