# Provenance: Monthly ROC-issue aggregate regenerated from Ofgem 12-year XLSX (D-01).
# Source: data/raw/ofgem/rocs_report_2006_to_2018_20250410081520.xlsx
#   Sheet: 'ROCs by Tech & Month'
#   Coverage: Apr 2006 – Mar 2018 (12 obligation years SY5–SY17)
# generation_mwh is null throughout — the 12-year XLSX carries ROC counts only.
# country='GB' throughout — the sheet aggregates all UK nations.
#
# Re-generate: uv run python3 -c
#   "from uk_subsidy_tracker.data.ofgem_aggregate import emit_ro_generation_csv; emit_ro_generation_csv()"
#
# SHA256 of source XLSX: 76104acfbb46304867c14549e32fe98e1d0bc3791da1e1a431e8958a80d890b1
year,month,country,technology,generation_mwh,rocs_issued
2008,7,GB,Co-firing of Biomass with Fossil Fuel,,126415.0
2008,7,GB,Co-firing of Energy Crops,,2462.0
2008,7,GB,Fuelled,,121603.0
2008,7,GB,Hydro 20MW DNC or less,,92262.0
2008,7,GB,Hydro 50kW DNC or less,,103.0
2008,7,GB,Hydro greater than 20MW DNC,,0.0
2008,7,GB,Landfill Gas,,385584.0
2008,7,GB,Micro Hydro,,4199.0
2008,7,GB,Off-shore Wind,,99283.0
2008,7,GB,On-shore Wind,,389441.0
2008,7,GB,Photovoltaic,,51.0
2008,7,GB,Photovoltaic 50kW DNC or less,,2.0
2008,7,GB,Sewage Gas,,35814.0
2008,7,GB,Waste using an Advanced Conversion Technology,,6.0
2008,7,GB,Wave Power,,0.0
2008,7,GB,Wind 50kW DNC or less,,3.0
2008,8,GB,Biomass,,0.0
2008,8,GB,Biomass using an Advanced Conversion Technology,,1495.0
2008,8,GB,Co-firing of Biomass with Fossil Fuel,,118090.0
2008,8,GB,Co-firing of Energy Crops,,668.0
2008,8,GB,Fuelled,,128102.0
2008,8,GB,Hydro 20MW DNC or less,,118438.0
2008,8,GB,Hydro 50kW DNC or less,,131.0
2008,8,GB,Hydro greater than 20MW DNC,,0.0
2008,8,GB,Landfill Gas,,390651.0
2008,8,GB,Micro Hydro,,6550.0
2008,8,GB,Off-shore Wind,,102913.0
2008,8,GB,On-shore Wind,,372141.0
2008,8,GB,Photovoltaic,,45.0
2008,8,GB,Photovoltaic 50kW DNC or less,,5.0
2008,8,GB,Sewage Gas,,34553.0
2008,8,GB,Waste using an Advanced Conversion Technology,,0.0
2008,8,GB,Wave Power,,0.0
2008,8,GB,Wind 50kW DNC or less,,3.0
2008,9,GB,Biomass,,0.0
2008,9,GB,Biomass using an Advanced Conversion Technology,,1573.0
2008,9,GB,Co-firing of Biomass with Fossil Fuel,,168379.0
2008,9,GB,Co-firing of Energy Crops,,410.0
2008,9,GB,Fuelled,,126250.0
2008,9,GB,Hydro 20MW DNC or less,,134838.0
2008,9,GB,Hydro 50kW DNC or less,,143.0
2008,9,GB,Hydro greater than 20MW DNC,,0.0
2008,9,GB,Landfill Gas,,383963.0
2008,9,GB,Micro Hydro,,5867.0
2008,9,GB,Off-shore Wind,,95144.0
2008,9,GB,On-shore Wind,,344931.0
2008,9,GB,Photovoltaic,,34.0
2008,9,GB,Photovoltaic 50kW DNC or less,,4.0
2008,9,GB,Sewage Gas,,32455.0
2008,9,GB,Waste using an Advanced Conversion Technology,,96.0
2008,9,GB,Wave Power,,2.0
2008,9,GB,Wind 50kW DNC or less,,6.0
2008,10,GB,Biomass,,0.0
2008,10,GB,Biomass using an Advanced Conversion Technology,,2103.0
2008,10,GB,Co-firing of Biomass with Fossil Fuel,,203433.0
2008,10,GB,Co-firing of Energy Crops,,695.0
2008,10,GB,Fuelled,,153821.0
2008,10,GB,Hydro 20MW DNC or less,,225199.0
2008,10,GB,Hydro 50kW DNC or less,,162.0
2008,10,GB,Hydro greater than 20MW DNC,,0.0
2008,10,GB,Landfill Gas,,406596.0
2008,10,GB,Micro Hydro,,7607.0
2008,10,GB,Off-shore Wind,,184687.0
2008,10,GB,On-shore Wind,,762991.0
2008,10,GB,Photovoltaic,,31.0
2008,10,GB,Photovoltaic 50kW DNC or less,,3.0
2008,10,GB,Sewage Gas,,34694.0
2008,10,GB,Waste using an Advanced Conversion Technology,,192.0
2008,10,GB,Wave Power,,4.0
2008,10,GB,Wind 50kW DNC or less,,7.0
2008,11,GB,Biomass,,0.0
2008,11,GB,Biomass using an Advanced Conversion Technology,,1987.0
